Voucher_Number,Date,Amount,Major_Head,Head,Sub_Head,Payment_Type,Session,Details
230001,01/04/2023,2900,Bus Fees,Bus Fee,Student,Cash,2023-2024,Data  Migration
230002,01/04/2023,1500,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230003,01/04/2023,1000,Bus Fees,Bus Fee,Student,Cash,2023-2024,Data  Migration
230004,01/04/2023,1000,Bus Fees,Bus Fee,Student,Cash,2023-2024,Data  Migration
230005,04/04/2023,400,Bus Fees,Bus Fee,Student,Cash,2023-2024,Data  Migration
230006,05/04/2023,4000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230007,06/04/2023,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230008,07/04/2023,6000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230009,10/04/2023,9500,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230010,11/04/2023,6000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230011,12/04/2023,2000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230012,12/04/2023,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230013,12/04/2023,6000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230014,13/04/2023,8000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230015,13/04/2023,5000,Fees,Bus Fee,Student,Cash,2023-2024,Data  Migration
230016,19/04/2023,1100,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230017,20/04/2023,3000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230018,20/04/2023,15000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230019,20/04/2023,25000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230020,20/04/2023,20000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230021,21/04/2023,10000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230022,24/04/2023,3000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230023,26/04/2023,7000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230024,27/04/2023,4000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230025,27/04/2023,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230026,28/04/2023,4500,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230027,28/04/2023,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230028,28/04/2023,4000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230029,01/05/2023,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230030,01/05/2023,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230031,05/05/2023,3100,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230032,16/05/2023,3000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230033,16/05/2023,2000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230034,17/05/2023,3800,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230035,17/05/2023,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230036,01/06/2023,2000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230037,04/06/2023,10000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230038,05/06/2023,4000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230039,07/06/2023,7000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230040,11/06/2023,4000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230041,13/06/2023,6000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230042,13/06/2023,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230043,15/06/2023,4000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230044,19/06/2023,8000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230045,19/06/2023,10000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230046,19/06/2023,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230047,19/06/2023,30000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230048,20/06/2023,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230049,20/06/2023,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230050,21/06/2023,11500,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230051,24/06/2023,7000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230052,26/06/2023,10000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230053,30/06/2023,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230054,01/07/2023,10000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230055,04/07/2023,10000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230056,04/07/2023,22000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230057,04/07/2023,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230058,06/07/2023,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230059,07/07/2023,16000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230060,12/07/2023,10000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230061,12/07/2023,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230062,12/07/2023,10000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230063,14/07/2023,200,TC Fees,TC Fees,Student,Cash,2023-2024,Data  Migration
230064,14/07/2023,200,TC Fees,TC Fees,Student,Cash,2023-2024,Data  Migration
230065,13/07/2023,7000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230066,11/07/2023,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230067,11/07/2023,10000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230068,11/07/2023,2000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230069,11/07/2023,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230070,17/07/2023,3200,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230071,17/07/2023,31000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230072,18/07/2023,1500,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230073,20/07/2023,10000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230074,23/07/2023,1000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230075,23/07/2023,200,TC Fees,TC Fees,Student,Cash,2023-2024,Data  Migration
230076,23/07/2023,200,TC Fees,TC Fees,Student,Cash,2023-2024,Data  Migration
230077,24/07/2023,1500,Fees,Fees,Student,Cash,2023-2024,Data  Migration
